breed_name,temperment,image,description,akc_rank,height,height_group,weight,weight_group,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Mudi,"Loyal, Intelligent, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02190524/Mudi.7.jpg,"The Mudi is an extremely versatile, intelligent, alert, agile, all-purpose Hungarian farm dog. His courage is useful for working the most stubborn livestock. The breed is a loyal protector of property and family members without being overly aggressive.",,15-18.5 inches,small,18-29 pounds,lightweight,12-14 years,Miscellaneous Class,20%,40%,100%,100%,40%,"['Black', 'Brown', 'Gray', 'Gray Brown', 'White', 'Yellow']"
American Eskimo Dog (Standard),"Playful, Perky, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001724/American-Eskimo-Dog-On-White-01.jpg,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",Ranks 122 of 197,15-19 inches,small,25-35 pounds,lightweight,13-15 years,Non-Sporting Group,40%,60%,80%,100%,100%,"['White', 'White & Biscuit']"
Smooth Fox Terrier,"Friendly, Independent, Amusing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26234338/Smooth-Fox-Terrier-standing-in-a-field-in-winter.jpg,"The Smooth Fox Terrier, called the “gentleman of the terrier world,” is a lively, gregarious terrier with a devil-may-care attitude, originally developed for Britain’s traditional foxhunts. They are close relatives to Wire Fox Terriers.",Ranks 123 of 197,15.5 inches,small,15-17,lightweight,12-15 years,Terrier Group,40%,40%,80%,60%,80%,"['White', 'White & Black', 'White & Tan', 'White Black & Tan', 'White Tan & Black']"
Wire Fox Terrier,"Confident, Alert, Gregarious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02163205/Wire-Fox-Terrier.1.jpg,"The Wire Fox Terrier breed standard says they should be “on the tip-toe of expectation at the slightest provocation.” Once a mainstay of traditional British foxhunts, today’s Wire is a handsome and amusing companion and master show dog.",Ranks 101 of 197,15.5 inches,small,15-17,lightweight,12-15 years,Terrier Group,40%,20%,60%,60%,60%,"['White', 'White & Black', 'White & Tan', 'White Black & Tan', 'White Tan & Black']"
Finnish Spitz,"Friendly, Good-Natured, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233256/Finnish-Spitz-On-White-01.jpg,"The lively Finnish Spitz, the flame-colored, foxy-faced breed from the “Land of 60,000 Lakes,” is a small but fearless hunting dog whose unique style of tracking and indicating quarry has earned him the nickname the “Barking Bird Dog.”",Ranks 184 of 197,15.5-18 inches,small,20-28 pounds,lightweight,13-15 years,Non-Sporting Group,40%,60%,100%,60%,80%,"['Red Gold', 'Gold', 'Red']"
Grand Basset Griffon Vendéen,"Independent, Happy, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171741/GBGV.2.jpg,"The Grand Basset Griffon Vendéen is a French scenthound. Somewhat active and never high-strung, yet GBGVs are busy dogs who don’t tire easily.",Ranks 177 of 197,15.5-18 inches,small,40-45 pounds,middleweight,13-15 years,Hound Group,40%,60%,100%,40%,80%,"['Black & Tan', 'Fawn', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan']"
Kai Ken,"Loyal, Agile, Keen",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28123020/Kai-Ken.5.jpg,"The Kai Ken is a medium-sized dog and is one of the six native Japanese breeds or Nihon Ken. Traditionally used to hunt a wide range of game in the mountains of Japan, the Kai Ken is considered a rare breed even in Japan. The Kai is highly intelligent and learns quickly. They seem to learn as fast as the other Japanese breeds if not faster. They are not as independent and are more willing to please their companions. The Japanese describe the Kai Ken as a trustworthy guardian and extremely devoted to his master.",,15.5-19.5 inches,small,20-40 pounds,lightweight,12-15 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Black Brindle', 'Gray Brindle', 'Red Brindle']"
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26223654/Spanish-Water-Dog.jpg,"The inexhaustible Spanish Water Dog is a dual-purpose breed whose hallmark is a coat of wooly curls. Used as both a herder and waterfowl retriever in his homeland, this rustic charmer is a lively family companion and vigilant watchdog.",Ranks 153 of 197,15.75-18 inches,small,31-40 pounds,middleweight,12-14 years,Herding Group,100%,20%,80%,100%,40%,"['Beige & White With Black Nose', 'Beige & White With Brown Nose', 'Beige With Black Nose', 'Black', 'Black & White', 'Brown', 'Brown & White', 'White & Beige With Black Nose', 'White & Beige With Brown Nose', 'White & Black', 'White & Brown', 'White With Black Nose', 'White With Brown Nose']"
Peruvian Inca Orchid,"Affectionate, Loyal, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29133522/Peruvian-Inca-Orchid-04.jpg,"Agile, smart and swift, the Peruvian Inca Orchid is an elegant sighthound that developed in Peru. The breed can be hairless or coated, and comes in three sizes: small, medium and large. Lively and alert, these dogs can be very good hunters and do well in lure coursing, rally and agility. In the hairless variety, the skin can be of any color. In the coated variety, all colors are accepted including black, brown, gray, pink, tan and white.",,15.75-19.75 inches,small,17.5-26.5 pounds,lightweight,12-14 years,Miscellaneous Class,20%,80%,80%,60%,40%,"['Black', 'Blue', 'Bronze', 'Brown', 'Copper', 'Cream', 'Gold', 'Gray', 'Gray Brindle', 'Lilac', 'Red', 'Red Brindle', 'Rose', 'Tan', 'Tan Brindle', 'Tri-Colored', 'White']"
Basenji,"Independent, Smart, Poised",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19135835/Basenji-running-through-a-field.jpg,"The Basenji, Africa’s “Barkless Dog,” is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine.",Ranks 87 of 197,16 inches,small,22 pounds,lightweight,13-14 years,Hound Group,20%,40%,80%,40%,40%,"['Black & White', 'Black Tan & White', 'Brindle & White', 'Red & White', 'Black Brindle & White', 'Blue Cream & White', 'Cream & White', 'Mahogany & White', 'Sable & White']"
Puli,"Loyal, Smart, Home-Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08105915/Puli-sitting-in-a-field.jpg,"No other breed can be mistaken for the Puli, a compact but powerful herder covered from head to tail with profuse, naturally occurring cords. Bred to work closely with humans, these agile and faithful little dynamos are quick learners.",Ranks 160 of 197,16 inches,small,25-35 pounds,lightweight,10-15 years,Herding Group,100%,20%,60%,40%,40%,"['Black', 'Silver', 'White', 'Brown', 'Cream', 'Rust']"
Norwegian Buhund,"Confident, Smart, Perceptive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230414/Norwegian-Buhund-On-White-01.jpg,"The densely coated Norwegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted.",Ranks 165 of 197,16-17.5 inches,small,26-35 pounds,lightweight,12-15 years,Herding Group,40%,60%,80%,80%,80%,"['Black', 'Wheaten']"
Lagotto Romagnolo,"Affectionate, Keen, Undemanding",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04123313/Lagotto-Romagnolo-standing-by-a-pond.jpg,"The Lagotto Romagnolo, Italy’s adorable “truffle dog,” sports a curly coat and lavish facial furnishings. Despite their plush-toy looks, Lagotti are durable workers of excellent nose who root out truffles, a dainty and pricey delicacy.",Ranks 99 of 197,16-18 inches,small,24-31 pounds,lightweight,15-17 years,Sporting Group,20%,20%,60%,100%,60%,"['Brown', 'Brown Roan', 'Off-White', 'Orange', 'White & Brown', 'White & Orange']"
Finnish Lapphund,"Friendly, Alert, Agile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28155707/Finnish-Lapphund-lying-on-a-snow-covered-road.jpg,The weatherproof Finnish Lapphund is a tough and substantial reindeer herder from north of the Arctic Circle. This remarkably empathetic breed is among the friendliest of all dogs—once he’s satisfied that you aren’t a reindeer rustler.,Ranks 161 of 197,16-19 inches,small,33-53 pounds,middleweight,12-15 years,Herding Group,40%,60%,60%,100%,40%,"['Black', 'Blonde', 'Brown', 'Cream', 'Tan', 'Wolf Sable', 'Blue', 'Brindle', 'Saddle']"
Schapendoes,"Friendly, Watchful, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224720/Schapendoes-On-White-01.jpg,"This shaggy sheepdog of Holland is also known as the Dutch Sheep Dog. Schapendoes are cheerful, funny, clever and brave and are very good family pets. They also have a strong desire to please.",,16-20 inches,small,26-55 pounds,lightweight,12-15 years,Foundation Stock Service,40%,60%,60%,80%,60%,"['Beige', 'Black', 'Black & White', 'Brown', 'Chocolate & White', 'Gray', 'Gray & White', 'Tri-Colored', 'White', 'Beige & Brown', 'Beige & White', 'Black & Beige', 'Black & Gray', 'Black & Silver', 'Black Gray & Beige', 'Black Gray & White', 'Black White & Silver', 'Gray Tan & Beige', 'Red Black & White', 'White & Apricot', 'White & Brown', 'White & Gold', 'White & Liver', 'White & Silver', 'White Gray & Tan']"
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/05/16193300/Croatian-Sheepdog.jpg,"The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.",,16-20 inches,small,29-44 pounds,lightweight,13-14 years,Foundation Stock Service,20%,40%,100%,100%,40%,['Black']
Swedish Lapphund,"Playful, Intelligent, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193246/Swedish-Lapphund-MP.jpg,"Lively, alert, kind and affectionate. The Lapphund is very receptive, attentive and willing to work. Its abilities as a good herding dog made it very useful in the reindeer trade. It is very versatile, suitable for obedience training, agility, herding, tracking, etc. It is easy to train, full of endurance and toughness.",,16-20 inches,small,30-45 pounds,middleweight,12-14 years,Foundation Stock Service,40%,60%,60%,20%,60%,"['Black', 'Liver']"
Slovensky Kopov,"Courageous, Alert, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19182351/Kopov-puppies.jpg,"This spirited, persistent hunter will follow a scent for hours. The Slovensky Kopov is a hardy, hardworking breed that is also known for its courage and great endurance and was originally developed to hunt wild boar.",,16-20 inches,small,33-44 pounds,middleweight,12-13 years,Foundation Stock Service,20%,60%,60%,60%,,['Black & Tan']
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01171937/Entlebucher-Mountain-Dog-outdoors-standing-in-a-field.jpg,"The Entlebucher Mountain Dog, tricolor “Laughing Dog” of the Swiss Alps, is a rugged and determined mover of cattle. These spirited, energetic workers and athletes are independent problem solvers and are happiest with a job to perform.",Ranks 157 of 197,16-20 inches,small,40-55 pounds,middleweight,11-13 years,Herding Group,20%,20%,100%,40%,40%,"['Black', 'Black White & Tan']"
Portuguese Podengo,"Independent, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13231716/Portuguese-Podengo-standing-in-three-quarter-view.jpg,"Portuguese Podengos are lively, agile, playful, alert, highly intelligent but not always easy to train, independent yet loving with the family and sometimes suspicious of strangers. The breed's two sizes have different jobs: the larger hunts deer and boar and the medium-sized hunts rabbit. In the U.S, they are successful in coursing, agility, nose work, barn hunt, rally and in the conformation ring.",,16-22 inches,small,35-44 pounds,middleweight,10-12 years,Miscellaneous Class,40%,80%,80%,60%,40%,"['Chestnut', 'Fawn', 'Gold', 'Gray', 'Off-White', 'Red', 'White & Black', 'White & Chestnut', 'White & Fawn', 'White & Gold', 'White & Gray', 'White & Orange', 'White & Red', 'White & Yellow', 'Yellow']"
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205445/Treeing-Tennessee-Brindle-MP.jpg,"The Treeing Tennessee Brindle is an exceptionally sturdy and healthy breed. They are intelligent, brave, courageous and loyal companions with a strong inbred instinct for hunting. The breed bays during a hunt, which means they cry out to the hunter.",,16-24 inches,small,30-50 pounds,middleweight,10-12 years,Foundation Stock Service,40%,40%,60%,60%,,"['Black', 'Brindle']"
Mountain Cur,"Intelligent, Strong-Willed, Reserved with Strangers",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191148/Mountain-Cur-MP.jpg,"The Mountain Cur is a hunting dog with a good treeing instinct. It is a very courageous fighter and extremely intelligent, doing whatever job its master desires. The dogs were a crucial part of the cultures of early pioneers, settlers, and homesteaders.",,16-26 inches,small,30-60 pounds,middleweight,10-13 years,Foundation Stock Service,20%,60%,100%,20%,40%,"['Black', 'Blue', 'Brindle', 'Brown', 'Red', 'Yellow']"
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14115933/Icelandic-Sitting.jpg,"The Icelandic Sheepdog, Iceland’s only native dog breed, is a charmingly friendly and faithful all-around herder of small-to-medium size. A densely coated Nordic spitz-type breed, Icelandics are enthusiastically devoted to their humans.",Ranks 155 of 197,16.5 inches,small,25 pounds,lightweight,12-14 years,Herding Group,40%,60%,80%,100%,80%,"['Black & White', 'Chocolate & White', 'Cream & White', 'Fawn & White', 'Gold & White', 'Gray & White', 'Red & White', 'Sable & White', 'Tan & White', 'White Tan & Black', 'Black', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Golden', 'Gray', 'Red', 'Sable', 'Tan']"
Cirneco dell’Etna,"Affectionate, Friendly, Independent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215538/Cirneco-Dell-Etna-On-White-01.jpg,"The sleek and sinewy Cirneco dell’Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.",Ranks 183 of 197,16.5-18 inches,small,17-22 pounds,lightweight,12-14 years,Hound Group,20%,20%,60%,60%,60%,['Chestnut']
Norrbottenspets,"Fearless, Agile, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230431/Norrbottenspets-On-White-01.jpg,"The Norrbottenspets is a small, slightly rectangular spitzdog, well poised, with sinewy and well-developed muscles. Alert with head carried high, they have a fearless attitude and are extremely agile. They are calm, keen, and attentive, with a kind disposition.",,16.5-18 inches,small,20-30 pounds,lightweight,14-17 years,Miscellaneous Class,40%,40%,80%,80%,,['White']
Portuguese Sheepdog,"Intelligent, Devoted, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19232040/Black-Portuguese-Sheepdog-standing-outdoors-in-the-grass.jpg,"The Portuguese Sheepdog is exceptionally intelligent and lively. Very devoted to the shepherd and his herd, he can be somewhat wary of strangers and vigilant at night. Today, he is also an excellent companion, sporting and guard dog. He is known for his skillful ability to keep livestock in pastures and also for searching out stray animals. He is always vigilant and successfully alerts if predators are in the area. This breed is extremely devoted to its work and conducts it with joy and pleasure.",,16.5-21.5 inches,small,37.5-59 pounds,middleweight,12-13 years,Foundation Stock Service,40%,40%,80%,80%,,"['Black', 'Brown', 'Fawn', 'Gray', 'Wolfgray', 'Yellow']"
Keeshond,"Friendly, Lively, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28142535/Keeshond-exploring-in-the-backyard.jpg,"The amiable Keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive “spectacles” on his foxy face. Once a fixture on the canal barges of his native Holland, the Kees was, and remains, a symbol of Dutch patriotism.",Ranks 95 of 197,17 inches,medium,35-45 pounds,middleweight,12-15 years,Non-Sporting Group,60%,60%,60%,80%,80%,"['Black & Silver', 'Gray & Black', 'Gray Cream & Black', 'Gray Silver & Black', 'Silver & Black', 'Wolfgray & Black', 'Black', 'Gray', 'Silver', 'Tawny', 'White', 'Wolfgray']"
Field Spaniel,"Sweet, Fun-Loving, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01205310/Field-Spaniel-sitting-in-a-field.jpg,"The sweet and sensitive Field Spaniel is famously docile, but vigorous and game for anything when at play or in the field. These close cousins to Cocker Spaniels and Springer Spaniels may be small in number, but their charm is enormous.",Ranks 149 of 197,17 inches,medium,35-50 pounds,middleweight,12-13 years,Sporting Group,40%,80%,60%,60%,40%,"['Black', 'Blue Roan', 'Golden Liver', 'Golden Liver Roan', 'Liver', 'Liver Roan', 'Black & Tan', 'Black & White', 'Blue Roan & Tan', 'Liver & Tan', 'Liver & White']"
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223937/Soft-Coated-Wheaten-Terrier-On-White-01.jpg,"The Soft Coated Wheaten Terrier, an exuberant Irish farm dog, is happy, friendly, deeply devoted, and just stubborn enough to remind you he’s a terrier. The unique wheaten coat is low-shedding but needs diligent care to avoid matting.",Ranks 53 of 197,17-18 inches,medium,30-35 pounds,middleweight,12-14 years,Terrier Group,60%,20%,80%,40%,60%,['Wheaten']
Welsh Springer Spaniel,"Happy, Reserved, Upbeat",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30125529/Welsh-Springer-Spaniel-head-portrait-outdoors.jpg,"The Welsh Springer Spaniel is a vigorous, medium-sized bird dog of happy disposition, known for versatility in the field, companionability at home, and dashing good looks anywhere. The Welshie is among Britain's oldest sporting breeds.",Ranks 128 of 197,17-18 inches,medium,35-50 pounds,middleweight,12-15 years,Sporting Group,40%,,80%,80%,80%,['Red & White']
American Staffordshire Terrier,"Confident, Smart, Good-Natured",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07172037/AmStaff.06.jpg,"The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.",Ranks 85 of 197,17-18 inches,medium,40-55 pounds,middleweight,12-16 years,Terrier Group,20%,40%,60%,60%,60%,"['Black', 'Black Brindle', 'Blue', 'Blue Brindle', 'Blue Fawn', 'Blue Fawn Brindle', 'Bronze', 'Brown Brindle', 'Fawn', 'Fawn Brindle', 'Fawn Sable', 'Liver', 'Liver Brindle', 'Red', 'Red Brindle', 'Red Sable', 'Seal Brown', 'White']"
Polish Lowland Sheepdog,"Confident, Clever, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225658/Polish-Lowland-Sheepdog-On-White-02.jpg,"A shaggy-coated herding dog who thrives on exercise and hard work, the Polish Lowland Sheepdog is clever, confident, and a bit stubborn. Compact, alert, and adaptable, they are beloved companions and watchdogs of Polish city dwellers.",Ranks 170 of 197,17-19 inches,medium,30-50 pounds,middleweight,12-14 years,Herding Group,80%,60%,80%,20%,20%,"['Beige', 'Black', 'Black & White', 'Brown', 'Chocolate & White', 'Gray', 'Gray & White', 'Tri-Colored', 'White', 'Beige & Brown', 'Beige & White', 'Black & Beige', 'Black & Gray', 'Black & Silver', 'Black Gray & Beige', 'Black Gray & White', 'Black White & Silver', 'Gray Tan & Beige', 'Red Black & White', 'White & Apricot', 'White & Brown', 'White & Gold', 'White & Liver', 'White & Silver', 'White Gray & Tan']"
Australian Stumpy Tail Cattle Dog,"Alert, Trainable, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/10105842/Australian-Stumpy-Tail-Cattle-Dog-Slideshow-04.jpg,The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. He is a naturally bob-tailed breed and stands square with plenty of leg length under the body.,,17-19 inches,medium,32-35 pounds,middleweight,12-15 years,Foundation Stock Service,40%,40%,80%,80%,60%,"['Blue', 'Blue Mottled', 'Blue Speckled', 'Red', 'Red Mottled', 'Red Speckled']"
Australian Cattle Dog,"Alert, Curious, Pleasant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001403/Australian-Cattle-Dog-On-White-03.jpg,"The compact but muscular Australian Cattle Dog, also called Blue Heeler or Queensland Heeler, is related to Australia’s famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners.",Ranks 55 of 197,17-19 inches,medium,35-50 pounds,middleweight,12-16 years,Herding Group,20%,80%,100%,20%,40%,"['Blue', 'Blue Mottled', 'Blue Speckled', 'Red Mottled', 'Red Speckled']"
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07135844/Clumber-Spaniel-On-White-011.jpg,"A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.",Ranks 143 of 197,17-19 inches,medium,55-70 pounds,heavyweight,10-12 years,Sporting Group,40%,80%,60%,60%,40%,['White']
German Pinscher,"Courageous, Intelligent, Vivacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233117/German-Pinscher-On-White-01.jpg,"The sleek, no-frills German Pinscher is among Germany’s oldest breeds and the prototype of other pinscher breeds. This energetic, super-intelligent dog was at first used as a rat catcher but can be trained for all types of canine work.",Ranks 134 of 197,17-20 inches,medium,25-45 pounds,lightweight,12-14 years,Working Group,20%,40%,100%,60%,60%,"['Black', 'Blue', 'Brown', 'Fawn (Isabella)', 'Red']"
Taiwan Dog,"Loyal, Versatile, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190316/Taiwan-Dog-MP.jpg,"The Taiwan Dog is extremely faithful to his master, keen in sense, alert in movement, bold and fearless. He is a medium-sized dog with triangular head, almond shaped eyes, thin pricked ears and a sickle tail.",,17-20 inches,medium,26-40 pounds,lightweight,9-13 years,Foundation Stock Service,40%,60%,100%,80%,40%,"['Black', 'Brindle', 'Fawn', 'White', 'White & Black', 'White & Brindle', 'White & Fawn', 'Red']"
Nova Scotia Duck Tolling Retriever,"Affectionate, Intelligent, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212940/Nova-Scotia-Duck-Tolling-Retriever-slide1.jpg,"The smallest of the AKC’s retrievers, the Nova Scotia Duck Tolling Retriever is intelligent, affectionate, and eager to please. Play fetch with a tireless Toller until your right arm falls off, and he will ask you to throw left-handed.",Ranks 83 of 197,17-20 inches,medium,35-50 pounds,middleweight,12-14 years,Sporting Group,40%,60%,100%,80%,80%,"['Red', 'Red Gold', 'Buff']"
Chow Chow,"Dignified, Bright, Serious-Minded",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234523/Chow-Chow-On-White-01.jpg,"The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.",Ranks 75 of 197,17-20 inches,medium,45-70 pounds,heavyweight,8-12 years,Non-Sporting Group,60%,60%,60%,20%,40%,"['Black', 'Blue', 'Cinnamon', 'Cream', 'Red']"
Australian Kelpie,"Loyal, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20110435/Australian-Kelpie-herding-sheep.jpg,"The Australian Kelpie is a lithe, active dog, capable of untiring work. He is extremely intelligent, alert, and eager with unlimited energy.",,17-20 inches,medium,,middleweight,10-13 years,Foundation Stock Service,40%,80%,80%,100%,60%,"['Black', 'Black & Tan', 'Blue', 'Chocolate', 'Fawn', 'Red', 'Red & Tan']"
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13191700/Bavarian.190758538.jpg,"The Bavarian Mountain Scent Hound is calm and balanced, devoted to its owner, and reserved with strangers. He is a sound, self-assured, unafraid, biddable dog, neither shy nor aggressive.",,17-20.5 inches,medium,37-66 pounds,middleweight,12-15 years,Foundation Stock Service,40%,80%,60%,60%,40%,"['Brindle', 'Fawn', 'Red', 'Reddish Brown', 'Tan']"
Portuguese Water Dog,"Affectionate, Adventurous, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16135451/Portuguese-Water-Dog-standing-in-profile-outdoors.jpg,"The bright and biddable Portuguese Water Dog was bred to be an all-around fisherman’s helper. The robust, medium-sized body is covered by a coat of tight, low-shedding curls. They are eager and athletic companions built for water work.",Ranks 50 of 197,17-21 inches,medium,35-50 pounds,middleweight,11-13 years,Working Group,80%,60%,80%,80%,60%,"['Black', 'Brown', 'White']"
Kishu Ken,"Faithful, Noble, Docile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09134724/Kishu-Ken.3.jpg,"The Kishu Ken is a dog of noteworthy endurance, showing nobility, dignity, and naive feeling. His temperament is faithful, docile, and very alert.",,17-22 inches,medium,30-60 pounds,middleweight,11-13 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Red', 'Sesame', 'White']"
Shikoku,"Energetic, Alert, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06181326/Shikoku-standing-outdoors.jpg,"The Shikoku is a dog of marked endurance, keen in sense with a naive feeling, energetic and highly alert. He is an enthusiastic hunter and docile towards his master.",,17-22 inches,medium,35-55 pounds,middleweight,10-12 years,Foundation Stock Service,40%,,60%,60%,,"['Black & Tan', 'Black Sesame', 'Red', 'Red Sesame', 'Sesame']"
Standard Schnauzer,"Fearless, Smart, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15162521/Standard-Schnauzer-standing-outdoors.jpg,"The bold, bewhiskered Standard Schnauzer is a high-spirited farm dog from Germany. They are the sometimes-willful but ever reliable medium-sized members of the Schnauzer family of breeds. The Standard's sporty look is a canine classic.",Ranks 89 of 197,17.5-18.5 inches,medium,30-45 pounds,middleweight,13-16 years,Working Group,60%,20%,60%,40%,80%,"['Black', 'Pepper & Salt']"
Kerry Blue Terrier,"Smart, Alert, People-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28183206/Kerry-Blue-Terrier-standing-stacked-outdoors.jpg,"Among the largest of AKC terriers, the Kerry Blue Terrier is famous for his show-stopping blue coat. Named for the Irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.",Ranks 129 of 197,17.5-19 inches,medium,33-40 pounds,middleweight,12-15 years,Terrier Group,20%,60%,40%,,,"['Black', 'Blue', 'Blue & Black', 'Blue & Gray', 'Blue & Silver', 'Silver', 'Silver Blue', 'Slate Blue', 'Gray']"
