breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13142848/Cavalier-King-Charles-Spaniel-standing-in-the-grass.jpg,"The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.",Ranks 18 of 197,12-13 inches,13-18 pounds,12-15 years,Toy Group,40%,40%,40%,100%,80%,"['Black & Tan', 'Black & White', 'Blenheim', 'Ruby']"
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185837/Central-Asian-Shepherd-Dog-on-White-02.jpg,"The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators.",NA,Minimum: 25.5-27.5 inches,NA,Minimum: 88-110 pounds,Foundation Stock Service,20%,60%,40%,40%,20%,"['Black', 'Brindle', 'Fawn', 'Gray']"
Cesky Terrier,"Clever, Adventurous, Family-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15141010/Cesky-Terrier-on-White-011.jpg,"The Cesky Terrier, national dog of the Czech Republic, is a clever and adventurous playmate for kids and an eager walking buddy for the folks. They are tenacious at work, but a little more laid back and tractable than the usual terrier.",Ranks 185 of 197,10-13 inches,14-24 pounds,12-15 years,Terrier Group,40%,40%,60%,60%,40%,['Gray']
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29231024/Chesapeake-Bay-Retriever-hunting.jpg,"The Chesapeake Bay Retriever, peerless duck dog of the Mid-Atlantic, is an American original who embodies the classic traits of a good retriever: loyal, upbeat, affectionate, and tireless. The Chessie is famous for his waterproof coat.",Ranks 45 of 197,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,Sporting Group,60%,80%,80%,60%,40%,"['Brown', 'Dark Brown', 'Dark Deadgrass', 'Deadgrass', 'Light Brown', 'Light Deadgrass', 'Sedge', 'Tan']"
Chihuahua,"Charming, Graceful, Sassy",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27134650/Chihuahua-standing-in-three-quarter-view.jpg,"The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times.",Ranks 33 of 197,5-8 inches,not exceeding 6 pounds,14-16 years,Toy Group,20%,40%,60%,40%,60%,"['Black', 'Black & Tan', 'Blue & Tan', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Fawn & White', 'Red', 'Black & Red', 'Black & Silver', 'Black & White', 'Black Sabled Fawn', 'Black Sabled Silver', 'Blue', 'Blue & White', 'Blue Brindled Fawn', 'Blue Fawn', 'Chocolate & White', 'CHOCOLATE BLUE', 'Chocolate Brindled Fawn', 'Chocolate Sabled Fawn', 'Cream & White', 'Fawn Brindled Black', 'Gold', 'Gold & White', 'Red & White', 'Silver', 'Silver & White', 'White']"
Chinese Crested,"Affectionate, Alert, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234649/Chinese-Crested-On-White-01.jpg,"With their spotted pink skin, spiky “crested” hairdo, furry socks and feathery tail, you can’t mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart.",Ranks 79 of 197,11-13 inches,8-12 pounds,13-18 years,Toy Group,20%,20%,60%,60%,80%,"['Apricot', 'Black', 'Black White & Tan', 'Blue', 'Chocolate', 'Cream', 'Palomino', 'Pink & Chocolate', 'Pink & Slate', 'Slate', 'White', 'Black & Tan', 'Black & White', 'Brown', 'Pink', 'Red', 'Sable', 'Silver', 'White & Black', 'White & Chocolate']"
Chinese Shar-Pei,"Loyal, Independent, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08174941/Chinese-Shar-Pei-standing-on-the-sidewalk.jpg,"This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog.",Ranks 64 of 197,18-20 inches,45-60 pounds,8-12 years,Non-Sporting Group,20%,80%,60%,20%,40%,"['Apricot Dilute', 'Black', 'Black Sable', 'Blue', 'Blue Dilute', 'Brown', 'Chocolate Dilute', 'Cream', 'Cream Dilute', 'Cream Sable', 'Fawn', 'Fawn Sable', 'Five Point Red Dilute', 'Isabella Dilute', 'Lilac Dilute', 'Red', 'Red Fawn', 'Red Sable', 'Blue Sable', 'Brown Sable', 'White']"
Chinook,"Smart, Patient, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234558/Chinook-On-White-03.jpg,"The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.",Ranks 190 of 197,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,Working Group,40%,60%,80%,100%,80%,"['Fawn', 'Gray Red', 'Palomino', 'Red Gold', 'Silver Fawn', 'Black', 'Black & Tan', 'Buff', 'Gray & Tan', 'Tawny', 'White']"
Chow Chow,"Dignified, Bright, Serious-Minded",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234523/Chow-Chow-On-White-01.jpg,"The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.",Ranks 75 of 197,17-20 inches,45-70 pounds,8-12 years,Non-Sporting Group,60%,60%,60%,20%,40%,"['Black', 'Blue', 'Cinnamon', 'Cream', 'Red']"
Cirneco dell’Etna,"Affectionate, Friendly, Independent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215538/Cirneco-Dell-Etna-On-White-01.jpg,"The sleek and sinewy Cirneco dell’Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.",Ranks 183 of 197,"18-19.5 inches (male), 16.5-18 inches (female)","22-26 pounds (male), 17-22 pounds (female)",12-14 years,Hound Group,20%,20%,60%,60%,60%,['Chestnut']
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07135844/Clumber-Spaniel-On-White-011.jpg,"A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.",Ranks 143 of 197,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Sporting Group,40%,80%,60%,60%,40%,['White']
Cocker Spaniel,"Gentle, Smart, Happy",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01132744/Cocker-Spaniel-running-in-the-yard.jpg,"The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions.",Ranks 30 of 197,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Sporting Group,80%,40%,60%,100%,100%,"['Black', 'Black & Tan', 'Black & White', 'Black White & Tan', 'Brown', 'Brown Roan', 'Brown Roan & Tan', 'Brown & Tan', 'Brown & White', 'Brown White & Tan', 'Buff', 'Buff & White', 'Red', 'Red & White', 'Silver', 'Blue Roan', 'Blue Roan & Tan', 'Cream', 'Golden', 'Red Roan', 'Sable', 'Sable & White']"
Collie,"Devoted, Graceful, Proud",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10130454/Collie-standing-in-a-field.jpg,"The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world’s most recognizable and beloved dog breeds. The full-coated “rough” Collie is the more familiar variety, but there is also a sleek “smooth” Collie.",Ranks 38 of 197,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,Herding Group,60%,60%,60%,80%,80%,"['Black White & Tan', 'Blue Merle', 'Blue Merle & White', 'Blue Merle White & Tan', 'Sable', 'Sable & White', 'Sable Merle', 'Sable Merle & White', 'White', 'White Merle']"
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01142352/Coton-de-Tulears-sitting.jpg,"The Coton de Tulear, “Royal Dog of Madagascar,” is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.",Ranks 81 of 197,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,Non-Sporting Group,80%,40%,60%,80%,100%,"['White', 'Black']"
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/05/16193300/Croatian-Sheepdog.jpg,"The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.",NA,16-20 inches,29-44 pounds,13-14 years,Foundation Stock Service,20%,40%,100%,100%,40%,['Black']
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17231047/Curly-Coated-Retriever-standing-stacked-in-a-field-at-sunset.20200418030641387.jpg,"The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking person’s retriever who will never quit before you do.",Ranks 162 of 197,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Sporting Group,20%,40%,80%,40%,40%,"['Black', 'Liver']"
Czechoslovakian Vlcak,"Loyal, Intelligent, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234147/Czechoslovakian-Vlcak-On-White-01.jpg,"An alert, primitive canine that resembles a wolf in appearance. They are highly intelligent, powerful, active, loyal and devoted to it’s owner. They have superior eyesight, hearing and sense of smell and are known for having excellent stamina and endurance.",NA,Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10-15 years,Foundation Stock Service,40%,100%,100%,20%,20%,"['Silver Gray', 'Yellow Gray', 'Gray']"
Dachshund,"Friendly, Curious, Spunky",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07143620/Longhaired-Dachshund-standing-outdoors.jpg,"The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns.",Ranks 12 of 197,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,Hound Group,40%,40%,60%,60%,60%,"['Black & Cream', 'Black & Tan', 'Blue & Cream', 'Blue & Tan', 'Chocolate & Cream', 'Chocolate & Tan', 'Cream', 'Fawn (Isabella) & Cream', 'Fawn (Isabella) & Tan', 'Red', 'Wheaten', 'Wild Boar', 'Black', 'Chocolate', 'Fawn']"
Dalmatian,"Dignified, Smart, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234026/Dalmatian-On-White-01.jpg,"The dignified Dalmatian, dogdom's citizen of the world, is famed for his spotted coat and unique job description. During their long history, these ""coach dogs"" have accompanied the horse-drawn rigs of nobles, travelers, and firefighters.",Ranks 56 of 197,19-24 inches,45-70 pounds,11-13 years,Non-Sporting Group,40%,100%,80%,60%,60%,"['White & Black', 'White & Liver Brown', 'White & Lemon', 'White & Orange', 'White Black & Tan', 'White, Liver & Tan']"
Dandie Dinmont Terrier,"Independent, Smart, Proud",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213000/Dandie-Dinmont-Terrier-slide-6.jpg,"The unique-looking Dandie Dinmont Terrier is a tough but dignified little exterminator. Sturdily built for the rigors of farm life, they will agreeably adapt to city living. Dandies are compact companions blessed with a big personality.",Ranks 176 of 197,8-11 inches,18-24 pounds,12-15 years,Terrier Group,80%,20%,60%,40%,40%,"['Mustard', 'Pepper']"
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205855/Danish-Swedish-Farmdog-on-White-01.jpg,"Known as the Little Big Dog, the Danish-Swedish Farmdog is a companion dog that loves to work and enjoys a challenge. They are a small, compact and slightly rectangular dog, known to mature late.",NA,12.5-14.5 inches,15-20 pounds,11-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Danish-Swedish Farmdog',Missing 'Care' Scales for 'Danish-Swedish Farmdog',Missing 'Care' Scales for 'Danish-Swedish Farmdog',Missing 'Care' Scales for 'Danish-Swedish Farmdog',Missing 'Care' Scales for 'Danish-Swedish Farmdog',"['White & Black', 'White & Brown', 'White & Fawn', 'White & Tan']"
Deutscher Wachtelhund,"Friendly, Versatile, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29130931/AdobeStock_1083293871.jpg,"The Deutscher Wachtelhund has a scenting and blood tracking ability comparable to a Bloodhound and can track 40-hour-old wounded game. On a fresh game trail, it must vocalize to inform hunters of its location. They are a versatile breed, virtually unknown to the German non-hunting public, and is only owned by hunters, gamekeepers and professional hunters in Germany.",NA,18-21 inches,40-55 pounds,12-14 years,Foundation Stock Service,Missing 'Care' Scales for 'Deutscher Wachtelhund',Missing 'Care' Scales for 'Deutscher Wachtelhund',Missing 'Care' Scales for 'Deutscher Wachtelhund',Missing 'Care' Scales for 'Deutscher Wachtelhund',Missing 'Care' Scales for 'Deutscher Wachtelhund',"['Brown', 'Red']"
Doberman Pinscher,"Loyal, Fearless, Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224830/Doberman-Pinscher-standing-outdoors.jpg,"Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkind's noblemen. This incomparably fearless and vigilant breed stands proudly among the world's finest protection dogs.",Ranks 17 of 197,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Working Group,20%,80%,100%,100%,60%,"['Black & Rust', 'Blue & Rust', 'Fawn (Isabella) & Rust', 'Red & Rust', 'White']"
Dogo Argentino,"Loyal, Courageous, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141747/Dogo-Argentino.jpg,"The Dogo Argentino is a pack-hunting dog, bred for the pursuit of big-game such as wild boar and puma, and possesses the strength, intelligence and quick responsiveness of a serious athlete. His short, plain and smooth coat is completely white, but a dark patch near the eye is permitted as long as it doesn't cover more than 10% of the head.",NA,"24-26.5 inches (male), 24-25.5 inches (female)","88-100 pounds (male), 88-95 pounds (female)",9-15 years,Working Group,Missing 'Care' Scales for 'Dogo Argentino',Missing 'Care' Scales for 'Dogo Argentino',Missing 'Care' Scales for 'Dogo Argentino',Missing 'Care' Scales for 'Dogo Argentino',Missing 'Care' Scales for 'Dogo Argentino',['White']
Dogue de Bordeaux,"Affectionate, Loyal, Courageous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233808/Dogue-de-Bordeaux-On-White-03.jpg,"The most ancient of French dog breeds, the Dogue de Bordeaux (“Mastiff of Bordeaux”) was around even before France was France. These brawny fawn-coated guardians of considerable courage are famously loyal, affectionate, and protective.",Ranks 67 of 197,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Working Group,20%,80%,60%,60%,60%,"['Fawn', 'Isabella', 'Mahogany', 'Red']"
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205834/Drentsche-Patrijshond-on-White-01.jpg,"This breed is pronounced da'rinse-ah puh'trice-hoon. The Drentsche Patrijshond, Drent for short, is not your typical continental pointer. For starters, the Drent has a tail and is nearly four hundred years old. The Drent was built by farmers for farmers. As a farm dog, Drents had to do it all: hunt feather and fur, keep the farm clear of vermin, cart dairy to the market and much more. The breed has maintained versatility from the beginning and are highly intelligent and adaptable. As such, training must be kept lively and interesting. Drents are used in all types of hunting, agility, tracking, dog sledding, and skijoring.",NA,21-25 inches,48-73 pounds,11–14 years,Foundation Stock Service,40%,80%,80%,60%,40%,['White']
Drever,"Loyal, Even-Tempered, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18182350/Drever-face.jpg,"The Drever is robust and strong rather than elegant and speedy. They have a proud carriage, well-developed muscles and agile appearance. Affectionate, playful, and sweet, the Drever gets along well with most other breeds and is great in groups.",NA,12-15 inches,35-40 pounds,~15 years,Foundation Stock Service,20%,40%,60%,20%,60%,"['Brindle', 'Fawn', 'Red', 'Tri-Colored']"
Dutch Shepherd,"Intelligent, Lively, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205622/Dutch-Shepherd-on-White-01.jpg,"The Dutch Shepherd is a lively, athletic, alert and intelligent breed, and has retained its herding instinct for which it was originally developed. Having an independent nature, it can be slightly obstinate and have a mind of its own. Since its original duties were to keep flocks of sheep in a particular location, it is able to run all day, and that is reflected in its physique and structure.",NA,21.5-24.5 inches,42-75 pounds,11-14 years,Miscellaneous Class,40%,60%,100%,60%,60%,"['Gold Brindle', 'Silver Brindle', 'Yellow']"
English Cocker Spaniel,"Energetic, Merry, Responsive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16105011/English-Cocker-Spaniel-Slide03.jpg,"English Cocker Spaniel lovers often use the word “merry” to describe their breed. Upbeat in the field and mellow at home, this compact, silky-coated bird dog is widely admired for his delightful personality and irresistible good looks.",Ranks 52 of 197,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,Sporting Group,60%,40%,60%,100%,80%,"['Black', 'Black & Tan', 'Black & White', 'Black White & Tan', 'Blue Roan', 'Blue Roan & Tan', 'Golden', 'Lemon Roan', 'Liver', 'Liver & Tan', 'Liver & White', 'Liver Roan', 'Liver Roan & Tan', 'Liver White & Tan', 'Orange & White', 'Orange Roan', 'Red', 'Red Roan', 'Lemon & White', 'Red & White', 'Sable', 'Sable & Tan', 'Sable & White']"
English Foxhound,"Affectionate, Gentle, Sociable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19120219/English-Foxhound-standing-in-a-field.jpg,"The English Foxhound is a substantial galloping hound of great stamina. His long legs are straight as a gatepost, and just as sturdy. The back is perfectly level. And the chest is very deep, “girthing” as much as 31 inches on a hound measuring 24 inches at the shoulder, ensuring plenty of lung power for a grueling day’s hunt.",Ranks 188 of 197,24 inches,60-75 pounds,10-13 years,Hound Group,20%,80%,80%,60%,80%,"['Black White & Tan', 'Lemon & White', 'White']"
English Setter,"Friendly, Mellow, Merry",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28135356/English-Setter-standing-in-a-field.jpg,"The English Setter is a medium-sized sporting dog of sweet temper and show-stopping good looks. It is one of the AKC’s four British setters created to work on the distinctly different terrains of England, Ireland, and Scotland.",Ranks 94 of 197,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,Sporting Group,60%,80%,80%,80%,80%,"['Blue Belton', 'Blue Belton & Tan (Tri-Color)', 'Lemon Belton', 'Liver Belton', 'Orange Belton', 'White']"
English Springer Spaniel,"Friendly, Playful, Obedient",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08110247/English-Springer-Spaniel-On-White-011.jpg,"The English Springer Spaniel is a sweet-faced, lovable bird dog of great energy, stamina, and brains. Sport hunters cherish the duality of working Springers: handsome, mannerly pets during the week, and trusty hunting buddies on weekends.",Ranks 27 of 197,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,Sporting Group,40%,40%,60%,100%,80%,"['Black & White', 'Black White & Tan', 'Liver & White', 'Liver White & Tan', 'White & Black', 'White & Liver', 'Lemon & White', 'Orange & White', 'Red & White']"
English Toy Spaniel,"Gentle, Playful, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233503/English-Toy-Spaniel-On-White-01.jpg,"The merry English Toy Spaniel was bred to be the companion of kings. But ETS are spaniels first and pampered lapdogs second, and beneath the patrician exterior beats the heart of a real doggy dog—bright, loving, and willing to please.",Ranks 135 of 197,9-10 inches,8-14 pounds,10-12 years,Toy Group,60%,60%,60%,40%,60%,"['Black & Tan', 'Black White & Tan', 'Red', 'Red & White']"
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01171937/Entlebucher-Mountain-Dog-outdoors-standing-in-a-field.jpg,"The Entlebucher Mountain Dog, tricolor “Laughing Dog” of the Swiss Alps, is a rugged and determined mover of cattle. These spirited, energetic workers and athletes are independent problem solvers and are happiest with a job to perform.",Ranks 157 of 197,"17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11-13 years,Herding Group,20%,20%,100%,40%,40%,"['Black', 'Black White & Tan']"
Estrela Mountain Dog,"Alert, Intelligent, Brave",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13173254/Beau.jpg,"The Estrela Mountain Dog is not only an excellent livestock guardian, but is also known for his love of children and family. Proper socialization and training as a puppy is very important so that the dominance in the Estrela's personality does not become aggressive.",NA,24.5-29 inches,77-132 pounds,10-14 years,Foundation Stock Service,Missing 'Care' Scales for 'Estrela Mountain Dog',Missing 'Care' Scales for 'Estrela Mountain Dog',Missing 'Care' Scales for 'Estrela Mountain Dog',Missing 'Care' Scales for 'Estrela Mountain Dog',Missing 'Care' Scales for 'Estrela Mountain Dog',"['Brindle', 'Fawn', 'Wolfgray', 'Yellow']"
Eurasier,"Confident, Calm, Family-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28174934/Eurasier.1.jpg,"The Eurasier is a medium-sized dog with a thick, medium-long coat that can come in a variety of colors. Confident, calm, and well-balanced, he is loyal to the entire family, but reserved towards strangers. He must live in close contact with his family, as he is not suited to be kept in kennels or tied up outside.",NA,19-24 inches,40-70 pounds,12-16 years,Foundation Stock Service,60%,60%,60%,60%,40%,"['Black', 'Fawn', 'Red', 'Sable', 'Wolfgray']"
Field Spaniel,"Sweet, Fun-Loving, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01205310/Field-Spaniel-sitting-in-a-field.jpg,"The sweet and sensitive Field Spaniel is famously docile, but vigorous and game for anything when at play or in the field. These close cousins to Cocker Spaniels and Springer Spaniels may be small in number, but their charm is enormous.",Ranks 149 of 197,"18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,Sporting Group,40%,80%,60%,60%,40%,"['Black', 'Blue Roan', 'Golden Liver', 'Golden Liver Roan', 'Liver', 'Liver Roan', 'Black & Tan', 'Black & White', 'Blue Roan & Tan', 'Liver & Tan', 'Liver & White']"
Finnish Lapphund,"Friendly, Alert, Agile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28155707/Finnish-Lapphund-lying-on-a-snow-covered-road.jpg,The weatherproof Finnish Lapphund is a tough and substantial reindeer herder from north of the Arctic Circle. This remarkably empathetic breed is among the friendliest of all dogs—once he’s satisfied that you aren’t a reindeer rustler.,Ranks 161 of 197,"18-21 inches (male), 16-19 inches (female)",33-53 pounds,12-15 years,Herding Group,40%,60%,60%,100%,40%,"['Black', 'Blonde', 'Brown', 'Cream', 'Tan', 'Wolf Sable', 'Blue', 'Brindle', 'Saddle']"
Finnish Spitz,"Friendly, Good-Natured, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233256/Finnish-Spitz-On-White-01.jpg,"The lively Finnish Spitz, the flame-colored, foxy-faced breed from the “Land of 60,000 Lakes,” is a small but fearless hunting dog whose unique style of tracking and indicating quarry has earned him the nickname the “Barking Bird Dog.”",Ranks 184 of 197,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,Non-Sporting Group,40%,60%,100%,60%,80%,"['Red Gold', 'Gold', 'Red']"
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02143829/Flat-Coated-Retrievers-sitting-outdoors.jpg,"The Peter Pan of the Sporting Group, the forever-young Flat-Coated Retriever is a gundog of relatively recent origin. Happy, self-assured, and willing to please, a good Flat-Coat will retrieve a duck or a show ribbon with equal aplomb.",Ranks 91 of 197,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Sporting Group,40%,80%,100%,100%,80%,"['Black', 'Liver', 'Yellow']"
French Bulldog,"Adaptable, Playful, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12145606/20121215-_MG_3384.jpg,"The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible.",Ranks 4 of 197,11-13 inches,under 28 pounds,10-12 years,Non-Sporting Group,20%,80%,40%,60%,60%,"['Brindle', 'Brindle & White', 'Cream', 'Fawn', 'Fawn & White', 'Fawn Brindle', 'White', 'White & Brindle', 'White & Fawn', 'Cream & White', 'Fawn Brindle & White']"
French Spaniel,"Gentle, Sociable, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27114220/French-Spaniel-Gallery-01.jpg,"The French Spaniel is balanced, frank, gentle, calm and docile. He is an enthusiastic hunter, sociable with other dogs and an ideal companion in all circumstances. An excellent pointing dog, he also has a talent for retrieving.",NA,21.5-24 inches,50-60 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'French Spaniel',Missing 'Care' Scales for 'French Spaniel',Missing 'Care' Scales for 'French Spaniel',Missing 'Care' Scales for 'French Spaniel',Missing 'Care' Scales for 'French Spaniel',"['Brown', 'White & Brown']"
